Location;Component;Type/Value;Notes;;;
PCB;;URL!!!;;;;
J1;Mini-DIN 8 female;;;;;
J2;Mini-DIN 8 female;;;;;
J3;D-Sub 25 female;90 degr. PCB mount;SCSI extern;;;
J4;D-Sub 19 female;90 degr. PCB mount;Floppy, hard to find;source…;;
J5;Wannenstecker 2x10 2.54mm male;;Floppy intern;;;
J6;D-Sub 9 female;90 degr. PCB mount;Mouse;;;
J7;3.5 mm audio;???;;;;
J8;;;Power;;;
J9;RJ11 female;;pinout!!!;;;
SW1,SW2;???;;Reset, NMI;;;
Y1;Quarz 32.768 kHz;;;;;
Q1;7905 voltage regulator;-5V;caution: small holes in PCB only!;;;
FB1,FB2;;;;;;
U1D;TSM PAL, Apple 342-0516-A;GAL 16V8;source;;;
U1E;LAG PAL, Apple 342-0515-A;GAL 16V8;source;;;
U1F;74LS393;;;;;
U1G;74LS393;;;;;
U2A;Filter;;R tut auch;;;
U2D;"BMU1 PAL, Apple 342-0514-1
";GAL 16V8;https://wiki.pldarchive.co.uk/index.php?title=Macintosh_128k/512k/Plus;;;
U2E;BMU2 PAL, Apple 342-0518-A;GAL 20V8 or 22V8;source;;;
U2F;74LS257;;;;;
U2G;74LS257;;;;;
U3C;26LS30;;;;;
U3D;TSG PAL, Apple 342-0516-A;;;;;
U3E;CAS PAL, Apple 342-0519-1;;;;;
U3F;74F253;;Error in Silkscreen, not a LS257!;;;
U3G;74F253;;;;;
U4A;Filter;;R tut auch;;;
U4C;26LS32;;;;;
U4D;74F04;;;;;
U4F;74F253;;;;;
U4G;74F253;;;;;
U5C;3488;;;;;
U5D;16 MHz osc.;;15.xxxxx !!!!;;;
U6A;5380;;SCSI;;;
U6D;ROM high;;;;;
U7D;ROM low;;;;;
U7E;MC68000P8;;;;;
U8A;Filter;;R tut auch;;;
U8D;IWM controller;;;;;
U9A;Filter;;R tut auch;;;
U9B;RTC;;;;;
U9D;Z8530;SCC;;;;
U9E;74LS245;;;;;
U10E;74LS245;;;;;
U10F;74LS166;;;;;
U10G;74F253;;;;;
U11D;VIA6522;VIA;;;;
U11E;ASG PAL, Apple 342-0517-1;GAL 16V8;;;;
U11F;74LS166;;;;;
U12D;SND ASIC;;;;;
U12E;74LS161;;;;;
U12F;74LS161;;;;;
;;;;;;
SIMM;2 x dual 30 pin SIMM sockets, angled;;;;;
C47,C45,C1,C2,C3,C4,C10,C11,C15,C43,C16,C17,C18,C19?,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C46;C 100nF ceramic axial;;;;;
C8;C 33p ceramic axial;;;;;
C9;C 10p ceramic axial;;;;;
C5,C6,C7,C12,C13;Elko 33uF axial;;;;;
C14;Elko 1uF axial;;;;;
C49;–;;;;;
CR1;–;;;;;
CR2,CR3;1N??? Diode;;;;;
L1,L2;33 uH Spule;;;;;
L3;Filter 27uH;;;;;
R2,R3,R6,R7,R15,R16,R17,R22,R23;R 10K;;;;;
R4,R5;R 33K ??? 3.3K ???;;;;;
R8,R9;R 150 Ohm;Nur Bestücken bei 1 Bank (R9)/256 kB SIMM (R8);;;;
R13,R21,R29,R31,R32,R33,R39,R45,R40;R 47 Ohm;;;;;
R12,R14,R25,R33;R 3.3K;;;;;
R10,R28;R 200 Ohm;;;;;
R36,R37;R 150 Ohm;;;;;
R20;R 560K;;;;;
R22,R23;R 10 Ohm;;;;;
R26,R35;R 1K;;;;;
R43,R44;R 27 Ohm;;;;;
R41;R 68 Ohm;;;;;
R42;R 75 Ohm;;;;;
R24,R25;R 33kOhm, 3.3kOhm???;;;;;
R27,R38;R 39 Ohm ???;;;;;
R28;R 220 Ohm;;;;;
RP1;R-Bus 2K2;;;;;
RP2,RP3;R-Array linear …;;;;;
